Traffic_Level,ID,Delivery_person_ID,weather_description,Type_of_order,Type_of_vehicle,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,temperature,humidity,precipitation,Distance (km),TARGET
High,70A2,CHENRES12DEL01,mist,Snack,scooter,32,4.6,12.972.793,80.249.982,13.012.793,80.289.982,26.55,87,0,9.89,43.45
High,95B4,RANCHIRES15DEL01,clear sky,Meal,scooter,33,4.7,23.369.746,8.533.982,23.479.746,8.544.982,17.51,69,0,19.11,38.16
High,CDCD,DEHRES17DEL01,clear sky,Snack,motorcycle,36,4.2,30.327.968,78.046.106,30.397.968,78.116.106,12.44,77,0,11.59,36.36
High,2784,PUNERES13DEL03,clear sky,Drinks,scooter,23,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65,0,21.93,49.45
High,6F67,HYDRES14DEL01,overcast clouds,Snack,motorcycle,34,4.9,17.426.228,78.407.495,17.496.228,78.477.495,21.29,64,0,18.26,52.48
High,539B,MUMRES02DEL01,clear sky,Buffet,motorcycle,25,4,19.221.315,72.862.381,19.261.315,72.902.381,24.51,47,0,8.97,34.61
High,8BC0,SURRES15DEL03,clear sky,Drinks,scooter,35,4.3,21.160.522,72.771.477,21.250.522,72.861.477,22.92,43,0,16.08,44.16
High,30C8,PUNERES19DEL02,clear sky,Drinks,scooter,32,4.6,18.563.934,73.915.367,18.693.935,74.045.367,19.15,64,0,26.35,54.38
High,B843,PUNERES02DEL01,clear sky,Snack,motorcycle,33,4.9,1.855.144,73.804.855,1.862.144,73.874.855,18.97,65,0,17.24,47.46
High,9B18,BANGRES17DEL01,mist,Snack,motorcycle,22,4.8,12.972.532,77.608.179,13.042.532,77.678.179,19.7,93,0,12.08,47.28
High,4F0,MUMRES17DEL02,clear sky,Drinks,scooter,29,4.6,19.121.999,72.908.493,19.201.999,72.988.493,24.42,49,0,19.19,46.25
High,6999,MUMRES02DEL03,clear sky,Drinks,electric_scooter,23,4.9,19.221.315,72.862.381,19.281.315,72.922.381,24.96,48,0,13.2,40.61
High,63B6,BANGRES05DEL03,mist,Drinks,scooter,27,4.9,12.970.324,77.645.748,13.030.324,77.705.748,19.84,93,0,11.37,44.18
High,A30B,CHENRES11DEL01,mist,Drinks,motorcycle,37,4.8,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88,0,8.68,46.45
High,7AC8,COIMBRES14DEL02,mist,Drinks,motorcycle,28,4.8,11.003.681,76.975.525,11.083.681,77.055.525,23.97,78,0,15.83,50.35
High,272D,COIMBRES07DEL03,mist,Buffet,motorcycle,24,4.7,1.096.185,76.971.082,1.105.185,77.061.082,24.04,78,0,19.07,49.71
High,73CC,SURRES12DEL01,clear sky,Drinks,scooter,30,4.4,21.183.434,72.814.492,21.253.434,72.884.492,22.83,42,0,14.97,4.23
High,A9F,BANGRES13DEL01,mist,Drinks,scooter,29,4.6,12.935.662,7.761.413,12.975.662,7.765.413,20.21,91,0,11.19,45.48
High,4B7F,HYDRES13DEL03,broken clouds,Buffet,motorcycle,26,4.7,17.431.477,7.840.035,17.491.477,7.846.035,21.4,64,0,15.46,45.58
